smiles,formula,precusor_mz,level,mz,
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16HF31O2,812.9408741,1,118.99129 168.98849 218.98570 268.98282 318.97971 368.97601 418.97543 468.97253 518.96753 768.95453,168.98849 218.98570 268.98282 118.99129 318.97971 368.97601 418.97543 468.97253 518.96753 768.95453
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12HF25O3S,698.9174404,1,79.95609 98.95461 698.91827,698.91827 79.95609 98.95461 
CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H4F17NO2S,511.9618491,1,64.96890 82.95925 118.99131 168.98840 218.98552 268.98245 418.97122 511.96133,511.96133 168.98840 218.98552 64.96890 118.99131 82.95925 268.98245 418.97122 
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H6F17NO2S,525.9774992,1,64.96893 82.95930 118.99106 168.98845 218.98553 268.98260 418.97275 525.97729,525.97729 168.98845 218.98553 64.96893 118.99106 82.95930 268.98260 418.97275 
O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF11O3,328.9677243,1,118.99257 168.98940 184.98434 284.97800,184.98434 168.98940 118.99257 284.97800
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H5F15O2,440.9977227,1,336.98921 316.98298,336.98921 316.98298
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F11O2,341.0041098,1,235.98777 216.98937,235.98777 216.98937
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16HF34O2P,900.9098454,1,500.93540 100.96095,500.93540 100.96095
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12HF26O2P,700.9226196,1,400.94178 100.96095,400.94178 100.96095
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H6F13O4P,442.97234,1,96.96962 78.95905,96.96962 78.95905
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H6F17O4P,542.965945,1,96.96962 78.95905,96.96962 78.95905
O=C(O)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF13O2,374.96962,1,118.99245 130.99266 168.98936 180.98949  280.98338 330.98058,118.99245 330.98058 180.98949 130.99266 280.98338 168.98936 
O=C(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H2F14O2,394.97585,1,118.99245 130.99266 180.98949  330.98058,330.98058 118.99245 180.98949 130.99266 
O=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)SCC(O)C(=O)O,C11H9F11O4S,444.99732,2b,120.9968 356.9802 384.9777 424.9905,120.9968 356.9802 424.9905 384.9777 
O=C(CO)SC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H7F11O3S,414.98675,2b,90.9862 294.9632 324.9561 334.9603 344.9622 354.9665 374.9727 394.9788,394.9788 334.9603 344.9622 90.9862 354.9665 374.9727 294.9632 324.9561 
O=S(=O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F13O4S,442.96282,2b,96.9603 326.9 362.9360 402.9481,96.9603 326.9 362.9360 402.9481
O=C(O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,C9HF17O4,494.95306,1,118.9924 184.98444 350.9697,184.98444 118.9924 350.9697
O=C(O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,C12HF23O5,660.9384,1,118.99256 184.98449 350.97067,184.98449 350.97067 118.99256 
O=C(O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)F,C10H10F10O2,351.04484,3,167.01145 187.01781 207.02414 211.00171 227.03055 231.00807 247.03673 251.01404 267.04308 271.02024 291.02706 311.03317 331.03912,207.02414 187.01781 227.03055 167.01145 247.03673 271.02024 251.01404 331.03912 267.04308 311.03317 291.02706 231.00807 211.00171 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,C8HF15O3,428.96134,3,118.99227 134.98744 168.98941 184.98432 234.98153 284.97854,184.98432 234.98153 284.97854 118.99227 168.98941 134.98744 
O=C(O)C(F)(F)OC(F)(F)OC(F)(F)F,C4HF7O4,244.96903,3,84.99040 134.98722 150.98264 200.97904,84.99040 200.97904 134.98722 150.98264 
O=C(O)C(F)OC(F)(F)C(F)(F)C(F)(F)F,C5H2F8O3,260.98034,2b,118.9924 184.98444,184.98444 118.9924
O=S(=O)(O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F,C5H2F10O4S,346.94414,2b,98.95576808 184.98444,184.98444 98.95576808
O=C(O)CSC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F,C7H4F10O3S,356.96487,2b,118.9924 184.98444,184.98444 118.9924
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO5S2,602.03461,2b,135.01134 152.03757 206.04925 256.03271,256.03271 206.04925 152.03757 135.01134 
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO6S2,618.02952,2b,135.01134 152.03757 206.04925,206.04925 152.03757 135.01134 
O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)F)C1(F)F,C8HF15O3S,460.93341,1,98.95551 168.98918 180.98917 230.98627 310.98129,98.95551 168.98918 180.98917 310.98129 230.98627 
O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F,C8HF15O3S,460.93341,1,98.95547 118.99232 380.97665,98.95547 380.97665 118.99232 
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C19H18F21NO6S2,802.02183,2b,79.95630 152.03757 206.04925 256.03271,256.03271 206.04925 152.03757 79.95630 
CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO4S2,586.03969,2a,79.95603 104.01629 135.01134 152.03806 206.04910,206.04910 135.01134 152.03806 79.95603 104.01629 
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C17H18F17NO5S2,702.02822,2a,79.95727 152.03796 206.04891 256.03227,256.03271 206.04925 152.03757 79.95630 
CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO4S2,586.03969,2a,104.0166 135.0104 152.0337 206.0480,135.0104 152.0337 206.0480 104.0166 
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO5S2,602.03461,2b,152.0396 206.0495 256.0324,256.0324 206.0495 152.0396 
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO6S2,618.02952,2b,135.01134 152.03757 206.04925 270.9997,206.04925 270.9997 152.03757 135.01134 
O=C(O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H9F13O3S,466.99921,2b,120.9961 334.9604 354.9648,120.9961 354.9648 334.9604 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF15O3S,460.93341,2b,118.9922 168.9892 180.9892 230.9852 280.9807 380.9751,168.9892 118.9922 380.9751 180.9892 230.9852 280.9807 
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H13F13N2O2S,483.04174,2b,118.9927 168.9891 318.9782,168.9891 318.9782 118.9927
O=C(O)CNCC(O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13H14F13NO3S,510.04141,2b,104.0175 349.9885 378.9808 420.0265,104.0175 349.9885 378.9808 420.0265
NC(CC(=O)O)CC(O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H19F13N2O4S,581.07852,2b,141.0674 158.0283 175.0546 378.9826 401.0185 441.0306,175.0546 401.0185 141.0674 158.0283 441.0306 378.9826 
CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO4S2,586.03969,2b,79.9568 135.0117 152.0388 206.0475,79.9568 135.0117 206.0475 152.0388 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H5F13O2,391.00092,2b,62.9885 216.9885 266.9859 286.9921,266.9859 286.9921 216.9885 62.9885 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H5F17O2,490.99453,2b,62.9887 266.9860 316.9825 336.9890,316.9825 266.9860 336.9890 62.9887 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F19O2,540.99134,2b,62.9886 347.9812 366.9797 416.9761,416.9761 366.9797 62.9886 347.9812 
O=C(O)CCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H6F15NO3,484.00354,2b,114.01967 168.98883,114.01967 168.98883
O=C(O)CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H6F17NO4S,569.96733,2b,77.96552 82.96085 218.98618 497.94620,77.96552 497.94620 82.96085 218.98618 
O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF17O2S,482.9353,2b,82.96085 118.99202 168.98937 218.98618,82.96085 168.98937 118.99202 218.98618
O=S(=O)(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)F,C8H2F14O3S,442.94283,3,242.9863 292.9829 342.9798 422.9365,422.9365 292.9829 342.9798 242.9863 
O=C(O)C(F)(OC(F)(F)F)C(F)(F)F,C4HF7O3,228.97412,1,68.9957 84.9866 112.9840 184.9811,68.9957 112.9840 84.9866 184.9811
O=C(O)C(F)(F)C(F)(F)OC(F)(F)F,C4HF7O3,228.97412,1,84.9900 184.9811,84.9900 184.9811
O=C(O)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,C5HF9O3,278.97092,2b,68.9957 84.9866 118.9909 134.9858 234.9764,84.9866 134.9858 68.9957 118.9909 234.9764
O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF11O3,328.96773,1,118.9931 134.9839 168.9891 184.9810 284.9727,168.9891 184.9810 118.9931 284.9727 134.9839 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,C4HF9O4S,314.93791,2b,68.9929 134.9874,134.9874 68.9929 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,C7HF13O5S,442.92644,1,68.9929 79.9568 96.9921 130.9884 146.9854 196.9812 262.9830 345.9289,146.9854 68.9929 96.9921 79.9568 130.9884 262.9830 345.9289 196.9812 
O=C(O)C(F)(F)S(=O)(=O)O,C2H2F2O5S,174.95183,1,79.9557 80.9640 130.9629 174.9468,80.9640 79.9557 130.9629 174.9468
O=C(O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)O)C(F)(F)F)C(F)(F)F,C8H2F14O7S,506.92249,2b,68.9929 134.9879 162.9828 184.9811 212.9756 262.9732 342.9372 462.9518,134.9879 184.9811 68.9929 262.9732 212.9756 162.9828 342.9372 462.9518
O=S(=O)(O)C(F)(F)C(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)O)C(F)(F)F,C7H3F13O8S2,524.8989,2b,134.9894 174.9759 224.9831 342.9390 424.9290,134.9894 424.9290 342.9390 224.9831 174.9759 
O=S(=O)(O)C(F)(F)C(F)OC(F)(F)C(F)(F)F,C4H2F8O4S,296.94733,1,68.9953 79.9575 98.9555 134.9891,79.9575 68.9953 98.9555 134.9891
O=S(=O)(O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F,C5H2F10O4S,346.94414,2b,118.9892 184.9869,184.9869 118.9892 
O=C(O)C(F)OC(F)(F)C(F)(F)C(F)(F)F,C5H2F8O3,260.98034,2b,118.9880 184.9819,118.9880 184.9819
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)C(F)(F)F,C7H2F14O5S,462.93266,1,68.9953 134.9867 184.9842 212.9780 262.9768 282.9895,68.9953 184.9842 262.9768 212.9780 134.9867 282.9895
O=C(O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)C(F)(F)F,C8H2F14O4,426.96568,1,68.9953 96.9926 134.9852 184.9824 212.9747 282.9804,68.9953 184.9824 134.9852 212.9747 96.9926 282.9804
O=C(O)C(F)(F)C(F)(F)OC(F)(F)OC(F)(F)F,C5HF9O4,294.96584,3,84.9909 134.9854,84.9909 134.9854
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,C5HF11O4S,364.93471,3,98.9492 134.9893 184.9829,184.9829 134.9893 98.9492 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,C8HF15O5S,492.92324,3,96.99 146.9868 184.9829 276.9298 345.9245 442.9257,442.9257 96.99 146.9868 184.9829 345.9245 276.9298 
O=C(O)C(F)OC(F)(F)C(F)(F)OC(F)(F)OC(F)(F)F,C6H2F10O5,342.96698,3,84.9902 118.9898 178.9817,84.9902 118.9898 178.9817
O=S(=O)(O)C(F)(F)C(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,C6H2F12O5S,412.93586,3,134.9877 162.9813 212.9744,134.9877 212.9744 162.9813
O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C6HF14NO4S2,479.90507,3,77.965 82.961 246.953,77.965 246.953 82.961 
O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C6HF14NO4S2,479.90507,3,77.965 82.961 196.958 296.956,77.965 82.961 196.958 296.956
O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C7HF16NO4S2,529.90188,3,77.966 82.961 246.955 296.953,77.966 246.955 296.953 82.961 
O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF18NO4S2,579.89868,3,77.965 82.961 296.952,77.965 296.952 82.961 
O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C8HF18NO4S2,579.89868,3,77.966 82.961 246.954 346.950,77.966 82.961 246.954 346.950
O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C9HF20NO4S2,629.89549,3,77.966 82.961 246.954 396.944,77.966 82.961 246.954 396.944
O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9HF20NO4S2,629.89549,3,77.965 82.961 296.951 346.948,77.965 82.961 296.951 346.948
O=C(O)C(F)=C(F)C(F)(C(F)(F)F)C(F)(F)F,C6HF9O2,274.97601,1,230.9859 180.9892 68.9942,230.9859 68.9942 180.9892 
O=C(O)C=CC(F)(C(F)(F)F)C(F)(F)F,C6H3F7O2,238.99485,1,218.9879 198.9815 174.9977 168.9883 154.9913 132.9895,168.9883 174.9977 154.9913 218.9879 198.9815 132.9895
O=C(O)CCC(F)(C(F)(F)F)C(F)(F)F,C6H5F7O2,241.0105,1,221.0059 200.9978 180.9911 177.0137,177.0137 180.9911 200.9978 221.0059 
O=C(O)C(F)C(F)C(F)(C(F)(F)F)C(F)(F)F,C6H3F9O2,276.99166,2b,192.9886 212.9949,192.9886 212.9949
O=C(O)C=CC(C(F)(F)F)C(F)(F)F,C6H4F6O2,221.00427,2b,108.9893 132.9895 180.9910 200.9974,180.9910 200.9974 132.9895 108.9893 
O=C(O)CC(F)C(F)(C(F)(F)F)C(F)(F)F,C6H4F8O2,259.00108,2b,154.9915 168.9985 174.9980 195.0043 238.9951,195.0043 154.9915 174.9980 168.9985 238.9951
O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4HF9O2S,282.94808,3,68.99531 82.96031 130.99194 168.98895 180.98868,130.99194 180.98868 68.99531 82.96031 168.98895 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)F,C4H2F8O3S,280.95242,2,79.95683 98.95519 130.99187 180.98860 260.9455,79.95683 130.99187 98.95519 180.98860 260.9455
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C6H2F12O3S,380.94603,2,79.95681 98.95517 129.95343 179.95015 180.98843 230.98531 280.98198 360.93892,79.95681 98.95517 129.95343 230.98531 280.98198 180.98843 179.95015 360.93892
O=C(C(F)(F)F)C(F)(F)C(F)(F)S(=O)(=O)O,C4HF7O4S,276.9411,2,68.9952 79.95676 96.99001 98.95511 130.99178 146.98666 160.95174 196.98335 226.94328,146.98666 96.99001 98.95511 130.99178 68.9952 160.95174 79.95676 196.98335 226.94328
O=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C8HF15O4S,476.92833,2,79.95676 82.96030 96.99024 98.95514 129.95343 146.98666 160.95174 180.98845 196.98337 218.98523 230.98532 246.98027 260.94568 279.94366 296.97711 330.97867 360.93863 410.93542,79.95676 129.95343 98.95514 230.98532 180.98845 279.94366 82.96030 410.93542 218.98523 196.98337 330.97867 146.98666 96.99024 246.98027 260.94568 296.97711 360.93863 160.95174
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C6HClF12O4S,430.90197,2,82.95903 250.95140,250.95140 82.95903 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C8HClF16O4S,530.89558,1,82.95958 98.95454 350.94599,350.94599 82.95958 98.95454 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C10HClF20O4S,630.8892,1,82.95958 98.95463 450.94005,450.94005 82.95958 98.95463 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C12HClF24O4S,730.88281,2,82.95948 98.95486 550.93176,550.93176 82.95948 98.95486 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)F,C6H2F12O4S,396.94094,2,82.95947 216.99031,216.99031 82.95947 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C8H2F16O4S,496.93456,2,82.95908 98.95462 296.97682 316.98433,316.98433 82.95908 296.97682 98.95462 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C10H2F20O4S,596.92817,2,82.95957 98.95467 416.97787,416.97787 82.95957 98.95467 
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4H2F9NO2S,297.95898,1,77.96358 118.99059 218.98463 277.95129,77.96358 118.99059 218.98463 277.95129
NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H6F13NO2S,425.98389,2,79.97989 345.95947 365.96536 385.97070 405.98022,79.97989 345.95947 365.96536 385.97070 405.98022
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)F,C8HF15O3S,460.93341,2,68.9956 79.9570 98.9553 118.9921 129.9539 130.9917 180.9897 229.9467 230.9854 280.9828 380.9787,79.9570 98.9553 118.9921 68.9956 230.9854 129.9539 380.9787 180.9897 280.9828 130.9917 229.9467
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F11O2,341.00411,1,166.9914 216.9886 236.9949,216.9886 236.9949 166.9914 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H5F13O2,391.00092,2,216.9884 266.9857 286.9928,266.9857 286.9928 216.9884 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H5F15O2,440.99773,2,266.9860 316.9827 336.9892,316.9827 266.9860 336.9892
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H5F17O2,490.99453,2,316.9833 366.9794 386.9861,366.9794 386.9861 316.9833 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F19O2,540.99134,2,366.9792 416.9763 436.9826,416.9763 436.9826 366.9792 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13H5F21O2,590.98815,2,416.9758 466.9734 486.9781,466.9734 486.9781 416.9758 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14H5F23O2,640.98495,2,466.9725 516.9696 536.9752,516.9696 536.9752 466.9725 
O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF11O3,328.96773,1,118.99 168.99 184.98,118.99 184.98 168.99 
O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H3F13O2,376.98527,1,142.99 242.99 292.99,292.99 242.99 142.99 
O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H2F14O2,406.97585,1,68.99 242.99 292.99 342.98,342.98 68.99 292.99 242.99 
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F11O2,341.00411,1,216.9886 236.9949,216.9886 236.9949
O=C(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H2F10O2,294.98224,2,68.99 118.99 180.99 230.99,68.99 230.99 180.99 118.99 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)F,C9HF15O2,424.96643,2,68.99 118.99 130.99 180.99 230.99,68.99 180.99 118.99 130.99 230.99
OC(F)(F)C(F)(F)C(F)(F)F,C3HF7O,184.98429,2,68.99 118.99,118.99 68.99 
OC(F)(F)C(F)=C(F)C(F)(F)C(F)(F)F,C5HF9O,246.98109,2,68.99 118.99 130.99 180.99,130.99 68.99 118.99 180.99
OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,C5HF11O2,300.97281,2,68.99 134.99 184.98,134.99 68.99 184.98
OC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,C7HF15O3,416.96134,3,68.99 84.99 134.99 184.98,84.99 68.99 134.99 184.98
